activeness,avg_commits,cos_description,cos_title,first_pull,lc_substr,lcp,lcs,ls_subseq
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06787330316742082,48.0,0.0871048431922289,0.0,1.0,44.026190476190514,32.26666666666665,32.26666666666665,44.026190476190514
0.0656084656084656,32.333333333333336,0.07842438403176552,0.0,1.0,17.576190476190465,11.266666666666662,11.266666666666662,17.576190476190465
0.0656084656084656,32.333333333333336,0.0,0.0,1.0,7.642857142857148,1.8333333333333333,1.8333333333333333,7.642857142857148
1.0634920634920635,32.333333333333336,0.0,0.0,1.0,34.50952380952378,21.566666666666663,21.566666666666663,34.759523809523785
1.0,1.0,0.0,0.0845798608014702,0.0,0.2,0.0,0.0,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3929824561403508,20.2,0.0,0.1273595297947935,0.6,6.111111111111105,1.888888888888889,1.888888888888889,6.333333333333327
1.3929824561403508,20.2,0.046440436727904086,0.0,0.6,11.842857142857143,6.400000000000002,6.400000000000002,11.842857142857143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8
2.75625,13.25,0.2154734675472121,0.32141629817718154,0.75,31.487301587301566,23.699999999999996,23.699999999999996,33.05396825396824
0.2,1.0,0.01932215714889586,0.0,0.0,1.1,0.5,0.5,1.1
0.5,1.0,0.010241590615231335,0.0,1.0,0.2,0.0,0.0,0.2
0.3333333333333333,1.0,0.0,0.0,1.0,0.2,0.2,0.2,0.2
0.16666666666666666,1.25,0.0,0.3531186380111936,0.0,4.1,2.8000000000000007,2.8000000000000007,4.1
2.6213599408721358,13.25,0.0,0.0,0.75,34.90793650793652,24.533333333333335,24.533333333333335,34.90793650793652
1.3333333333333333,1.0,0.16194497010256564,0.0,0.6666666666666666,1.15,1.15,1.15,1.15
1.3333333333333333,1.25,0.10597300063433117,0.0,0.5,3.257142857142857,2.914285714285714,2.914285714285714,3.257142857142857
1.3333333333333333,1.4,0.12535017850349772,0.0,0.6,4.7214285714285715,4.521428571428572,4.521428571428572,4.7214285714285715
1.3333333333333333,1.3333333333333333,0.15323465275544226,0.0,0.5,5.82857142857143,5.628571428571429,5.628571428571429,5.82857142857143
1.3333333333333333,1.2857142857142858,0.24753216940909478,0.1908740661302035,0.5714285714285714,4.192857142857143,4.192857142857143,4.192857142857143,4.192857142857143
1.7627450980392154,11.88888888888889,0.22861062347349154,0.4638170106385155,0.6666666666666666,41.5873015873016,32.066666666666684,32.066666666666684,41.5873015873016
2.25,1.25,0.1685715241160887,0.0,0.5,1.1928571428571428,0.0,0.0,1.1928571428571428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.75,1.2222222222222223,0.1317110286940974,0.12536693798731732,0.5555555555555556,5.771428571428573,4.228571428571429,4.228571428571429,5.771428571428573
6.75,1.3,1.1317110286940972,0.6284695504024488,0.5,1.9761904761904763,0.6666666666666666,0.6666666666666666,1.9761904761904763
6.2,1.3,0.08164949478869288,0.0,0.5,4.669047619047621,0.0,0.0,4.669047619047621
6.2,1.3,0.08830824502498325,0.0,0.5,2.375,0.0,0.0,2.5
6.2,1.3,0.0,0.0,0.5,0.8999999999999999,0.0,0.0,0.9999999999999999
7.033333333333333,1.25,0.28582450621901734,0.29559081662500286,0.5,4.567857142857143,1.225,1.225,4.567857142857143
6.533333333333333,1.3076923076923077,0.0,0.0,0.5384615384615384,5.70952380952381,2.55,2.55,5.70952380952381
1.0,1.0,0.04743492331868173,0.10371551133313005,0.0,0.25,0.0,0.0,0.25
6.533333333333333,1.2857142857142858,0.0,0.5578444978648883,0.5714285714285714,5.642857142857143,4.892857142857143,4.892857142857143,5.642857142857143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.033333333333333,1.2666666666666666,0.0926470360442313,0.22576484600261604,0.6,1.125,1.0,1.0,1.125
4.833333333333333,1.375,0.08262838572781285,0.09193998174078082,0.5625,3.7845238095238103,1.8749999999999998,1.8749999999999998,3.7845238095238103
7.583333333333333,1.3529411764705883,0.32204372502741907,0.0,0.5882352941176471,11.720238095238093,9.578571428571427,9.578571428571427,11.720238095238093
